;Well ;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control;
;1;A01;SYBR;;Unkn;HS 0 ng;4251,52;0;Unknown;Unassigned;FALSE;-0,02
;1;B01;SYBR;;Unkn;HS 0 ng;4195,01;0;Unknown;Unassigned;FALSE;-0,06
;1;C01;SYBR;;Unkn;HS 0 ng;4266,45;0;Unknown;Unassigned;FALSE;-0,01
;1;D01;SYBR;;Unkn;HS 0 ng;4015,84;0;Unknown;Unassigned;FALSE;-0,19
;1;E01;SYBR;;Unkn;HS 20 ng;31097,71;20;Unknown;Unassigned;FALSE;18,77
;1;F01;SYBR;;Unkn;HS 20 ng;29503,06;20;Unknown;Unassigned;FALSE;17,65
;1;G01;SYBR;;Unkn;HS 20 ng;32091,03;20;Unknown;Unassigned;FALSE;19,46
;1;H01;SYBR;;Unkn;HS 20 ng;33188,34;20;Unknown;Unassigned;FALSE;20,23
1;2;A02;SYBR;;Unkn;HS_Exp_25;5361,17;;Unknown;Unassigned;FALSE;0,75
2;2;B02;SYBR;;Unkn;HS_ZZ_0032;5153,05;;Unknown;Unassigned;FALSE;0,61
3;2;C02;SYBR;;Unkn;HS_ZZ_0041;5562,28;;Unknown;Unassigned;FALSE;0,89
4;2;D02;SYBR;;Unkn;HS_ZZ_0043;5729,94;;Unknown;Unassigned;FALSE;1,01
5;2;E02;SYBR;;Unkn;HS_ZZ_0069;4762,97;;Unknown;Unassigned;FALSE;0,33
6;2;F02;SYBR;;Unkn;HS_ZZ_0089;5167,23;;Unknown;Unassigned;FALSE;0,62
7;2;G02;SYBR;;Unkn;HS_ZZ_0123;5442,23;;Unknown;Unassigned;FALSE;0,81
8;2;H02;SYBR;;Unkn;HS_ZZ_0136;5829,18;;Unknown;Unassigned;FALSE;1,08
9;3;A03;SYBR;;Unkn;HS_ZZ_0142;7037,46;;Unknown;Unassigned;FALSE;1,93
10;3;B03;SYBR;;Unkn;HS_ZZ_0208;4739,34;;Unknown;Unassigned;FALSE;0,32
11;3;C03;SYBR;;Unkn;HS_ZZ_0212;4873,44;;Unknown;Unassigned;FALSE;0,41
12;3;D03;SYBR;;Unkn;HS_ZZ_0246;5245,11;;Unknown;Unassigned;FALSE;0,67
13;3;E03;SYBR;;Unkn;HS_ZZ_0267;5143,46;;Unknown;Unassigned;FALSE;0,6
14;3;F03;SYBR;;Unkn;HS_ZZ_0275;5167,84;;Unknown;Unassigned;FALSE;0,62
15;3;G03;SYBR;;Unkn;HS_ZZ_0281;5290,47;;Unknown;Unassigned;FALSE;0,7
16;3;H03;SYBR;;Unkn;HS_ZZ_0284;5848,37;;Unknown;Unassigned;FALSE;1,09
17;4;A04;SYBR;;Unkn;HS_ZZ_0288;5440,64;;Unknown;Unassigned;FALSE;0,81
18;4;B04;SYBR;;Unkn;HS_ZZ_0292;5001,18;;Unknown;Unassigned;FALSE;0,5
19;4;C04;SYBR;;Unkn;HS_ZZ_0315;6388,42;;Unknown;Unassigned;FALSE;1,47
20;4;D04;SYBR;;Unkn;HS_ZZ_0335;5601,88;;Unknown;Unassigned;FALSE;0,92
21;4;E04;SYBR;;Unkn;HS_ZZ_0378;8987,56;;Unknown;Unassigned;FALSE;3,29
22;4;F04;SYBR;;Unkn;HS_ZZ_0400;5686,71;;Unknown;Unassigned;FALSE;0,98
23;4;G04;SYBR;;Unkn;HS_ZZ_0509;5026,62;;Unknown;Unassigned;FALSE;0,52
24;4;H04;SYBR;;Unkn;HS_ZZ_0620;4794,41;;Unknown;Unassigned;FALSE;0,36
25;5;A05;SYBR;;Unkn;HS_ZZ_0663;5537,84;;Unknown;Unassigned;FALSE;0,88
26;5;B05;SYBR;;Unkn;HS_ZZ_0679;4325,39;;Unknown;Unassigned;FALSE;0,03
27;5;C05;SYBR;;Unkn;HS_ZZ_0693;4612,65;;Unknown;Unassigned;FALSE;0,23
28;5;D05;SYBR;;Unkn;HS_ZZ_0705;5338,66;;Unknown;Unassigned;FALSE;0,74
29;5;E05;SYBR;;Unkn;HS_ZZ_0735;4447,2;;Unknown;Unassigned;FALSE;0,11
30;5;F05;SYBR;;Unkn;HS_ZZ_0836;4720,4;;Unknown;Unassigned;FALSE;0,3
31;5;G05;SYBR;;Unkn;HS_ZZ_0852;7227,78;;Unknown;Unassigned;FALSE;2,06
32;5;H05;SYBR;;Unkn;HS_PCRnegative;0;;Unknown;Unassigned;FALSE;-3
33;6;A06;SYBR;;Unkn;HS_Exp_2;4490,48;;Unknown;Unassigned;FALSE;0,14
34;6;B06;SYBR;;Unkn;HS_ZZ_0061;4439,53;;Unknown;Unassigned;FALSE;0,11
35;6;C06;SYBR;;Unkn;HS_ZZ_0109;4474,39;;Unknown;Unassigned;FALSE;0,13
36;6;D06;SYBR;;Unkn;HS_ZZ_0175;7482,82;;Unknown;Unassigned;FALSE;2,24
37;6;E06;SYBR;;Unkn;HS_ZZ_0192;5074,73;;Unknown;Unassigned;FALSE;0,55
38;6;F06;SYBR;;Unkn;HS_ZZ_0214;4299,43;;Unknown;Unassigned;FALSE;0,01
39;6;G06;SYBR;;Unkn;HS_ZZ_0249;5381,18;;Unknown;Unassigned;FALSE;0,77
40;6;H06;SYBR;;Unkn;HS_ZZ_0250;5135,91;;Unknown;Unassigned;FALSE;0,59
41;7;A07;SYBR;;Unkn;HS_ZZ_0252;5219,79;;Unknown;Unassigned;FALSE;0,65
42;7;B07;SYBR;;Unkn;HS_ZZ_0286;5535,26;;Unknown;Unassigned;FALSE;0,87
43;7;C07;SYBR;;Unkn;HS_ZZ_0316;4629,07;;Unknown;Unassigned;FALSE;0,24
44;7;D07;SYBR;;Unkn;HS_ZZ_0324;5459,61;;Unknown;Unassigned;FALSE;0,82
45;7;E07;SYBR;;Unkn;HS_ZZ_0326;5154,01;;Unknown;Unassigned;FALSE;0,61
46;7;F07;SYBR;;Unkn;HS_ZZ_0344;4881,06;;Unknown;Unassigned;FALSE;0,42
47;7;G07;SYBR;;Unkn;HS_ZZ_0364;4618,49;;Unknown;Unassigned;FALSE;0,23
48;7;H07;SYBR;;Unkn;HS_ZZ_0386;4962,36;;Unknown;Unassigned;FALSE;0,47
49;8;A08;SYBR;;Unkn;HS_Extractienegative;4124,43;;Unknown;Unassigned;FALSE;-0,11
50;8;B08;SYBR;;Unkn;HS_ZZ_0392;4952,84;;Unknown;Unassigned;FALSE;0,47
51;8;C08;SYBR;;Unkn;HS_ZZ_0425;4344,65;;Unknown;Unassigned;FALSE;0,04
52;8;D08;SYBR;;Unkn;HS_ZZ_0446;4378,92;;Unknown;Unassigned;FALSE;0,06
53;8;E08;SYBR;;Unkn;HS_ZZ_0482;4448,91;;Unknown;Unassigned;FALSE;0,11
54;8;F08;SYBR;;Unkn;HS_ZZ_0580;4502,51;;Unknown;Unassigned;FALSE;0,15
55;8;G08;SYBR;;Unkn;HS_ZZ_0581;4229,39;;Unknown;Unassigned;FALSE;-0,04
56;8;H08;SYBR;;Unkn;HS_ZZ_0608;4954,88;;Unknown;Unassigned;FALSE;0,47
57;9;A09;SYBR;;Unkn;HS_ZZ_0613;5221,4;;Unknown;Unassigned;FALSE;0,65
58;9;B09;SYBR;;Unkn;HS_ZZ_0674;5318,37;;Unknown;Unassigned;FALSE;0,72
59;9;C09;SYBR;;Unkn;HS_ZZ_0731;4278,11;;Unknown;Unassigned;FALSE;-0,01
60;9;D09;SYBR;;Unkn;HS_ZZ_0755;4658,08;;Unknown;Unassigned;FALSE;0,26
61;9;E09;SYBR;;Unkn;HS_ZZ_0763;5157,58;;Unknown;Unassigned;FALSE;0,61
62;9;F09;SYBR;;Unkn;HS_ZZ_0814;5789,56;;Unknown;Unassigned;FALSE;1,05
63;9;G09;SYBR;;Unkn;HS_ZZ_0820;5457,41;;Unknown;Unassigned;FALSE;0,82
64;9;H09;SYBR;;Unkn;HS_ZZ_0826;4154,58;;Unknown;Unassigned;FALSE;-0,09
65;10;A10;SYBR;;Unkn;HS_ZZ_0834;4646,66;;Unknown;Unassigned;FALSE;0,25
66;10;B10;SYBR;;Unkn;HS_ZZ_0846;5245,33;;Unknown;Unassigned;FALSE;0,67
67;10;C10;SYBR;;Unkn;HS_ZZ_0863;4681,75;;Unknown;Unassigned;FALSE;0,28
68;10;D10;SYBR;;Unkn;HS_PCRnegative;3918,53;;Unknown;Unassigned;FALSE;-0,26
69;10;E10;SYBR;;Unkn;HS_ZZ_0120;5639,21;;Unknown;Unassigned;FALSE;0,95
70;10;F10;SYBR;;Unkn;HS_ZZ_0202;5720;;Unknown;Unassigned;FALSE;1
71;10;G10;SYBR;;Unkn;HS_ZZ_0689_EXP51;4927,21;;Unknown;Unassigned;FALSE;0,45
72;10;H10;SYBR;;Unkn;HS_ZZ_0844;5554,2;;Unknown;Unassigned;FALSE;0,89
73;11;A11;SYBR;;Unkn;HS_Extractienegative;4243,3;;Unknown;Unassigned;FALSE;-0,03
74;11;B11;SYBR;;Unkn;HS_ZZ_0018;5796,79;;Unknown;Unassigned;FALSE;1,06
75;11;C11;SYBR;;Unkn;HS_ZZ_0018;11218,13;;Unknown;Unassigned;FALSE;4,85
76;11;D11;SYBR;;Unkn;HS_ZZ_0018;36978,37;;Unknown;Unassigned;FALSE;22,88
77;11;H11;SYBR;;Unkn;HS_ZZ_0166;8360,26;;Unknown;Unassigned;FALSE;2,85
78;12;A12;SYBR;;Unkn;HS_ZZ_0166;10588,1;;Unknown;Unassigned;FALSE;4,41
79;;;;;;;;;;;;
80;;;;;;;;;;;;
