Sample Description	Euk_ng/ÂµL	Eukband
SEA_0017_2012-05-16_Bv6	8.72	clear band
SEA_0018_2012-05-16_Bv6	0.551	faint band
SEA_0049_20120521_Bv6	1.84	clear band
SEA_0064_20120523_Bv6	0.799	faint band
SEA_0069_20120524_Bv6	6.66	clear band
SEA_0070_2012-05-24_Bv6	0.131	no or very faint band
SEA_0078_2012-05-25_Bv6	0.11	no or very faint band
SEA_0079_2012-05-25_Bv6	0.0974	no or very faint band
SEA_0085_2012-05-26_Bv6	0.116	no or very faint band
SEA_0086_2012-05-26_Bv6	1.78	clear band
SEA_0103_20120606_Bv6	0.614	faint band
SEA_0104_2012-06-06_Bv6	3.42	clear band
SEA_0122_20120608_Bv6	0.683	faint band
SEA_0123_2012-06-08_Bv6	0.513	faint band
SEA_0128	9.27	clear band
SEA_0129_2012-06-09_Bv6	0.103	no or very faint band
SEA_0150_2012_06_12_Bv6	22.4	clear band
SEA_0155_20120613_MG	21.8	clear band
SEA_0358_20130514_MG	1.64	clear band
SEA_0364	0.83	faint band
SEA_0380	0.342	faint band
SEA_0405	0.688	faint band
SEA_0421	1.38	clear band
SEA_0435_20130526_MG	11.5	clear band
SEA_0449_20130602_MG	29.5	clear band
SEA_0453_20130604_MG	62.9	clear band
SEA_0462_20130605_MG	6.66	clear band
SEA_0468_20130606_MG	5.08	clear band
C256-009-NT-r1	5.75	clear band
C256-009-NT-r2	1.88	clear band
C256-011-NT-r1	0.462	faint band
C256-011-NT-r2	1.03	clear band
C256-015-NT-r1	7.02	clear band
C256-015-NT-r2	6.31	clear band
C256-019-NT-r1	14.0	clear band
C256-019-NT-r2	0.697	faint band
C256-025-NT-r1	26.3	clear band
C256-025-NT-r2	23.8	clear band
C256-027-NT-r1	0.468	faint band
C256-027-NT-r2	0.344	faint band
C256-029-NT-r1	13.6	clear band
C256-029-NT-r2	0.478	faint band
C256-031-NT-r1	3.16	clear band
C256-031-NT-r2	0.808	faint band
C256-043-NT-r1	7.84	clear band
C256-043-NT-r2	1.35	clear band
C256-045-NT-r1	3.58	clear band
C256-045-NT-r2	0.0931	no or very faint band
C256-058-NT-r1	1.38	clear band
PE442.08.MT.05.D3	1.36	clear band
PE448-02-MT-02-D1	3.76	clear band
PE448-04-MT-03-D1	12.4	clear band
PE448-04-MT-03-D3	3.36	clear band
PE448-05-MT-04-D1	14.6	clear band
PE448-05-MT-04-D2	8.87	clear band
PE448-05-MT-04-D3	1.42	clear band
PE448-07-MT-05-D1	25.8	clear band
PE448-07-MT-05-D2	2.22	clear band
PE448-07-MT-05-D3	31.2	clear band
PE448-07-MN-01-N5-D1	25.7	clear band
PE448-07-MN-01-N5-D2	0.186	no or very faint band
PE448-07-MN-01-N3-D1	19.3	clear band
PE448-07-SED-03-D1	0.0669	no or very faint band
PE448-08-MT-06-D3	17.8	clear band
PE448-09-MT-07-D3	17.0	clear band
PE448.12.MT.09.D3	16.2	clear band
PE448.17.MT.12.D1	2.13	clear band
PE448.17.MT.12.D2	13.3	clear band
PE448-18-MT-13-D2	7.02	clear band
PE448-18-MT-13-D3	2.29	clear band
PE448-20-MT-14-D2	1.02	clear band
PE448-20-MN-02-N1	1.88	clear band
PE448.21.MT.15.D1	19.7	clear band
PE448-21-MT-15-D2	3.57	clear band
PE448.22.MT.16.D1	3.63	clear band
PE448-24-MT-17-D1	0.883	faint band
PE448.25.MT.18.D3	34.9	clear band
PE448-25-MN-03-N4-D1	0.473	faint band
PE448-25-MN-03-N5-D2	6.77	clear band
PE448-26-MT-19-D3	0.441	faint band
PE448.28.MT.20.D1	1.34	clear band
PE448.32.MT.24.D3	9.25	clear band
PE455-S02.2-MT-D1	15.6	clear band
PE455-S07.2-MT-D3	3.11	clear band
PE480-S01.1-MT-D1	1.42	clear band
PE480-S02.3-MT-D3	2.35	clear band
PE480-S03.4-MT-D4	8.24	clear band
PE480-S07.3-MT-D3	1.72	clear band
PE480-S08.3-MT-D3	12.1	clear band
PE480-S08.5-MT-D5	4.63	clear band
PE480-S10.3-NN-D3	32.7	clear band
PE480-S11.7-NN-D7	36.9	clear band
PE480-S12.4-MT-D4	1.77	clear band
FAN-01	4.01	clear band
Mock 10x dil	4.47	clear band
NTC	0.11	no or very faint band
